Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QC","Crops","231","United States of America","5312","Area harvested","75","Oats","1990","1990","ha","2406000","","Official data"
"QC","Crops","231","United States of America","5312","Area harvested","75","Oats","1991","1991","ha","1948990","","Official data"
"QC","Crops","231","United States of America","5312","Area harvested","75","Oats","1992","1992","ha","1819490","","Official data"
"QC","Crops","231","United States of America","5312","Area harvested","75","Oats","1993","1993","ha","1539040","","Official data"
"QC","Crops","231","United States of America","5312","Area harvested","75","Oats","1994","1994","ha","1622000","","Official data"
"QC","Crops","231","United States of America","5312","Area harvested","75","Oats","1995","1995","ha","1194640","","Official data"
"QC","Crops","231","United States of America","5312","Area harvested","75","Oats","1996","1996","ha","1074450","","Official data"
"QC","Crops","231","United States of America","5312","Area harvested","75","Oats","1997","1997","ha","1138390","","Official data"
"QC","Crops","231","United States of America","5312","Area harvested","75","Oats","1998","1998","ha","1113710","","Official data"
"QC","Crops","231","United States of America","5312","Area harvested","75","Oats","1999","1999","ha","989470","","Official data"
"QC","Crops","231","United States of America","5312","Area harvested","75","Oats","2000","2000","ha","940900","","Official data"
"QC","Crops","231","United States of America","5312","Area harvested","75","Oats","2001","2001","ha","773360","","Official data"
"QC","Crops","231","United States of America","5312","Area harvested","75","Oats","2002","2002","ha","832850","","Official data"
"QC","Crops","231","United States of America","5312","Area harvested","75","Oats","2003","2003","ha","898410","","Official data"
"QC","Crops","231","United States of America","5312","Area harvested","75","Oats","2004","2004","ha","723180","","Official data"
"QC","Crops","231","United States of America","5312","Area harvested","75","Oats","2005","2005","ha","737750","","Official data"
"QC","Crops","231","United States of America","5312","Area harvested","75","Oats","2006","2006","ha","632940","","Official data"
"QC","Crops","231","United States of America","5312","Area harvested","75","Oats","2007","2007","ha","608650","","Official data"
"QC","Crops","231","United States of America","5312","Area harvested","75","Oats","2008","2008","ha","572230","","Official data"
"QC","Crops","231","United States of America","5312","Area harvested","75","Oats","2009","2009","ha","542280","","Official data"
"QC","Crops","231","United States of America","5312","Area harvested","75","Oats","2010","2010","ha","512740","","Official data"
"QC","Crops","231","United States of America","5312","Area harvested","75","Oats","2011","2011","ha","354100","","Official data"
"QC","Crops","231","United States of America","5312","Area harvested","75","Oats","2012","2012","ha","406710","","Official data"
"QC","Crops","231","United States of America","5312","Area harvested","75","Oats","2013","2013","ha","408330","","Official data"
"QC","Crops","231","United States of America","5312","Area harvested","75","Oats","2014","2014","ha","418850","","Official data"
"QC","Crops","231","United States of America","5312","Area harvested","75","Oats","2015","2015","ha","516380","","Official data"
"QC","Crops","231","United States of America","5419","Yield","75","Oats","1990","1990","hg/ha","21567","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","75","Oats","1991","1991","hg/ha","18161","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","75","Oats","1992","1992","hg/ha","23472","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","75","Oats","1993","1993","hg/ha","19497","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","75","Oats","1994","1994","hg/ha","20479","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","75","Oats","1995","1995","hg/ha","19573","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","75","Oats","1996","1996","hg/ha","20702","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","75","Oats","1997","1997","hg/ha","21325","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","75","Oats","1998","1998","hg/ha","21605","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","75","Oats","1999","1999","hg/ha","21363","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","75","Oats","2000","2000","hg/ha","23011","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","75","Oats","2001","2001","hg/ha","22072","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","75","Oats","2002","2002","hg/ha","20217","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","75","Oats","2003","2003","hg/ha","23327","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","75","Oats","2004","2004","hg/ha","23221","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","75","Oats","2005","2005","hg/ha","22598","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","75","Oats","2006","2006","hg/ha","21447","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","75","Oats","2007","2007","hg/ha","21566","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","75","Oats","2008","2008","hg/ha","22842","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","75","Oats","2009","2009","hg/ha","24369","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","75","Oats","2010","2010","hg/ha","23172","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","75","Oats","2011","2011","hg/ha","20547","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","75","Oats","2012","2012","hg/ha","21944","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","75","Oats","2013","2013","hg/ha","22978","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","75","Oats","2014","2014","hg/ha","24338","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","75","Oats","2015","2015","hg/ha","25168","Fc","Calculated data"
"QC","Crops","231","United States of America","5510","Production","75","Oats","1990","1990","tonnes","5189000","","Official data"
"QC","Crops","231","United States of America","5510","Production","75","Oats","1991","1991","tonnes","3539490","","Official data"
"QC","Crops","231","United States of America","5510","Production","75","Oats","1992","1992","tonnes","4270720","","Official data"
"QC","Crops","231","United States of America","5510","Production","75","Oats","1993","1993","tonnes","3000690","","Official data"
"QC","Crops","231","United States of America","5510","Production","75","Oats","1994","1994","tonnes","3321660","","Official data"
"QC","Crops","231","United States of America","5510","Production","75","Oats","1995","1995","tonnes","2338270","","Official data"
"QC","Crops","231","United States of America","5510","Production","75","Oats","1996","1996","tonnes","2224350","","Official data"
"QC","Crops","231","United States of America","5510","Production","75","Oats","1997","1997","tonnes","2427570","","Official data"
"QC","Crops","231","United States of America","5510","Production","75","Oats","1998","1998","tonnes","2406120","","Official data"
"QC","Crops","231","United States of America","5510","Production","75","Oats","1999","1999","tonnes","2113780","","Official data"
"QC","Crops","231","United States of America","5510","Production","75","Oats","2000","2000","tonnes","2165120","","Official data"
"QC","Crops","231","United States of America","5510","Production","75","Oats","2001","2001","tonnes","1706990","","Official data"
"QC","Crops","231","United States of America","5510","Production","75","Oats","2002","2002","tonnes","1683760","","Official data"
"QC","Crops","231","United States of America","5510","Production","75","Oats","2003","2003","tonnes","2095710","","Official data"
"QC","Crops","231","United States of America","5510","Production","75","Oats","2004","2004","tonnes","1679310","","Official data"
"QC","Crops","231","United States of America","5510","Production","75","Oats","2005","2005","tonnes","1667170","","Official data"
"QC","Crops","231","United States of America","5510","Production","75","Oats","2006","2006","tonnes","1357470","","Official data"
"QC","Crops","231","United States of America","5510","Production","75","Oats","2007","2007","tonnes","1312590","","Official data"
"QC","Crops","231","United States of America","5510","Production","75","Oats","2008","2008","tonnes","1307090","","Official data"
"QC","Crops","231","United States of America","5510","Production","75","Oats","2009","2009","tonnes","1321490","","Official data"
"QC","Crops","231","United States of America","5510","Production","75","Oats","2010","2010","tonnes","1188140","","Official data"
"QC","Crops","231","United States of America","5510","Production","75","Oats","2011","2011","tonnes","727580","","Official data"
"QC","Crops","231","United States of America","5510","Production","75","Oats","2012","2012","tonnes","892470","","Official data"
"QC","Crops","231","United States of America","5510","Production","75","Oats","2013","2013","tonnes","938280","","Official data"
"QC","Crops","231","United States of America","5510","Production","75","Oats","2014","2014","tonnes","1019410","","Official data"
"QC","Crops","231","United States of America","5510","Production","75","Oats","2015","2015","tonnes","1299600","","Official data"
